,Title,Price,PID,Location
198,4 bedroom House for rent Orchid chevron Lekki Lagos," 5,500,000/year ",4KZKV,Orchid Chevron Lekki Lagos
199,3 bedroom Flat / Apartment for rent Alapere Kosofe/Ikosi Lagos," 2,200,000/year ",0LEGB,Alapere Kosofe Ikosi Lagos
200,4 bedroom House for rent Victoria Island Lagos," 25,000,000/year ",7LBQD,Victoria Island Lagos
201,1 bedroom House for rent Lekki Phase 1 Lekki Lagos," 4,000,000/year ",9LEKJ,Lekki Phase 1 Lekki Lagos
202,4 bedroom House for rent Lekki Phase 1 Lekki Lagos," 9,000,000/year ",8LENN,Lekki Phase 1 Lekki Lagos
203,4 bedroom House for rent Ologolo Lekki Lagos," 6,000,000/year ",9LCQE,Ologolo Lekki Lagos
204,3 bedroom House for rent Osapa london Lekki Lagos," 5,000,000/year ",0LCWP,Osapa London Lekki Lagos
205,3 bedroom House for rent Ikota Lekki Lagos," 3,500,000/year ",5LCVT,Ikota Lekki Lagos
206,3 bedroom House for rent Ikota Lekki Lagos," 3,500,000/year ",2LCWS,Ikota Lekki Lagos
207,4 bedroom House for rent Ikota Lekki Lagos," 12,000,000/year ",3LCVU,Ikota Lekki Lagos
208,4 bedroom House for rent ONIRU Victoria Island Lagos," 15,000,000/year ",0LFKV,Oniru Victoria Island Lagos
209,4 bedroom House for rent Ikota Lekki Lagos," 5,500,000/year ",8KZKW,Ikota Lekki Lagos
210,4 bedroom House for rent Ikate Lekki Lagos," 10,000,000/year ",6KZDT,Ikate Lekki Lagos
211,3 bedroom House for rent Marwa Busttop Close To Pinnacle Filling Station Lekki Phase 1 Lekki Lagos," 8,000,000/year ",2LCKZ,Marwa Busttop Close To Pinnacle Filling Station Lekki Phase 1 Lekki Lagos
212,4 bedroom House for rent Ikate Lekki Lagos," 7,500,000/year ",9LENL,Ikate Lekki Lagos
213,2 bedroom Flat / Apartment for rent Ayobo Ipaja Lagos," 500,000/year ",7LEUG,Ayobo Ipaja Lagos
214,1 bedroom Flat / Apartment for rent Bariga Lagos," 1,300,000/year ",9LDFW,Bariga Lagos
215,1 bedroom Flat / Apartment for rent Ikeja Lagos," 900,000/year ",3LFAX,Ikeja Lagos
216,2 bedroom Flat / Apartment for rent Akilapa Ajah Lagos," 800,000/year ",1LFKU,Akilapa Ajah Lagos
217,1 bedroom Flat / Apartment for rent Aboru Iyana Ipaja Ipaja Lagos," 850,000/year ",6LEUB,Aboru Iyana Ipaja Ipaja Lagos
